primary_keyword,page_type,cluster,pillar_slug,volume,kd,intent,secondary_keywords,status,brief_maker,notes,content_format
yoga mat size,subpillar,gear/mats,how-to-choose-a-yoga-mat,1900,0,transactional,"size of a yoga mat,standard yoga mat size,standard size of a yoga mat,yoga mat size chart",done,codex,"Live 2026-07-26 as /guides/yoga-mat-size; DataForSEO US volume 1900 KD0 and standard-size cluster 880 KD0; live SERP confirms length/width fit intent distinct from thickness; six current official-source formats without hands-on claims",guide
nbr vs tpe yoga mat,comparison,mat-comparisons,how-to-choose-a-yoga-mat,50,0,commercial,"tpe vs nbr yoga mat,nbr or tpe yoga mat,tpe and nbr yoga mat difference,which is better tpe or nbr yoga mat",done,codex,"Live 2026-07-26 as /guides/tpe-vs-nbr-yoga-mat; DataForSEO US volume 50 KD0; live SERP confirms direct purchase-comparison intent distinct from the two standalone material guides; four current official-source products compared without hands-on claims",versus
pu yoga mat,subpillar,gear/mats,how-to-choose-a-yoga-mat,90,4,transactional,"polyurethane yoga mat,pu rubber yoga mat,best pu yoga mat,pu yoga mat material",done,codex,"Live 2026-07-26 as /guides/pu-yoga-mat; DataForSEO US volume 90 KD4; live SERP confirms standalone material-guide and product intent distinct from non-slip and hot-yoga roundups; two current official-source layer systems without hands-on claims",guide
nbr foam yoga mat,subpillar,gear/mats,how-to-choose-a-yoga-mat,70,0,transactional,"nbr yoga mat,nbr mat yoga,nitrile rubber yoga mat,thick nitrile rubber yoga mat",done,codex,"Live 2026-07-26 as /guides/nbr-yoga-mat; DataForSEO US volume 70 KD0 for NBR foam yoga mat and 50 KD0 for NBR yoga mat; live SERP confirms material-guide and product intent distinct from EVA, TPE, PVC and thick-mat pages; two current official-source products without hands-on claims",guide
eva yoga mat,subpillar,gear/mats,how-to-choose-a-yoga-mat,90,0,transactional,"yoga mat eva,mat yoga eva,eva foam yoga mat,yoga mat eva foam",done,codex,"Live 2026-07-26 as /guides/eva-yoga-mat; DataForSEO US volume 90 KD0; live SERP confirms standalone material-guide intent distinct from TPE and PVC pages; two current official-source constructions with density and claims framework",guide
pvc yoga mat,subpillar,gear/mats,how-to-choose-a-yoga-mat,3600,0,transactional,"pvc yoga mat material,yoga mat pvc,mat yoga pvc,best pvc yoga mat",done,codex,"Live 2026-07-26 as /guides/pvc-yoga-mat; DataForSEO US volume 3600 KD0; live SERP confirms material-guide and product intent distinct from TPE and eco pages; three current source-checked constructions with bounded certification language",guide
jute yoga mat,subpillar,gear/mats,how-to-choose-a-yoga-mat,260,0,transactional,"yoga jute mat,yoga mat jute,best jute yoga mat,gaiam jute yoga mat",done,codex,"Live 2026-07-26 as /guides/jute-yoga-mat; DataForSEO US volume 260 KD0; live SERP confirms product/material-guide intent distinct from eco and rubber pages; two current official-source products without hands-on claims",guide
tpe yoga mat,subpillar,gear/mats,how-to-choose-a-yoga-mat,1600,0,transactional,"yoga mat tpe,tpe mat yoga,tpe yoga mat material,best tpe yoga mat",done,codex,"Live 2026-07-26 as /guides/tpe-yoga-mat; DataForSEO US volume 1600 KD0; live SERP confirms product/material-guide intent distinct from cork, rubber and eco pages; three source-checked products plus claims framework",guide
natural rubber yoga mat,subpillar,gear/mats,how-to-choose-a-yoga-mat,1900,0,transactional,"yoga mat natural rubber,yoga mat rubber natural,best natural rubber yoga mat,natural tree rubber yoga mat",done,codex,"Live 2026-07-26 as /guides/natural-rubber-yoga-mat; DataForSEO exact primary volume 1900 KD0 and reordered variant 3600 KD10; live SERP confirms product/material shortlist distinct from multi-material eco roundup and Jade review; five official-source picks",roundup
cork yoga mat,subpillar,gear/mats,how-to-choose-a-yoga-mat,4400,2,transactional,"best cork yoga mat,yoga cork mat,cork mat yoga,cork yoga mat for hot yoga",done,codex,"Live 2026-07-26 as /guides/cork-yoga-mat; DataForSEO US volume 4400 KD2; live SERP is product-category/roundup intent distinct from cork-vs-rubber comparison; five official-source construction picks without hands-on claims",roundup
yoga for beginners,pillar,yoga-for-beginners,yoga-for-beginners,12100,19,informational,"how to start yoga,yoga for beginners at home,beginner yoga poses,first yoga class,yoga for absolute beginners",done,opus,head term — pillar; live 2026-06-21; hubs the existing poses cluster,
sun salutation,cluster,poses,yoga-for-beginners,9900,40,informational,"surya namaskar,sun salutation steps,sun salutation a,sun salutation sequence,how to do sun salutation",done,,foundational pose; PAA-enriched 2026-06-22,
morning yoga routine,cluster,getting-started,yoga-for-beginners,1300,22,informational,"morning routine yoga,yoga morning routine,morning yoga for beginners,10 minute morning yoga,morning yoga stretch",done,opus,DataForSEO-researched spoke; live 2026-06-23; gentle 10-min beginner flow linking the poses cluster,how-to
sun salutation b,cluster,poses,yoga-for-beginners,2400,20,informational,"sun salutation a and b,sun salutation b sequence,surya namaskar b,sun salutation b steps,sun salutation b with breath",done,opus,DataForSEO-researched spoke; live 2026-06-23; 17-step Surya Namaskar B; cross-links A,how-to
sun salutation c,cluster,poses,yoga-for-beginners,880,0,informational,"sun salutation c sequence,surya namaskar c,sun salutation a b c,sun salutation abc,low lunge sun salutation",done,opus,DataForSEO-researched spoke; live 2026-06-23; gentler 11-step Surya Namaskar C (low lunge + cobra); completes A/B/C set,how-to
downward facing dog,cluster,poses,yoga-for-beginners,6600,8,informational,"adho mukha svanasana,downward dog pose,downward dog modifications,downward dog benefits",done,codex,foundational pose; published 2026-06-14; first live pose in the poses cluster (detail-first build),pose
best yoga mat for beginners,subpillar,gear/mats,yoga-for-beginners,390,6,commercial,"beginner yoga mat,yoga mat for new yogis,affordable beginner yoga mat,thick yoga mat for beginners,non-slip beginner mat",done,opus,affiliate gold — high commercial intent; live 2026-06-21 as type=cluster roundup (5 picks),
yoga for back pain,pillar,yoga-for-back-pain,yoga-for-back-pain,5400,26,informational,"yoga stretches for back pain,gentle yoga for back,lower back pain relief yoga",todo,,opens new cluster,
hatha vs vinyasa,cluster,styles,yoga-for-beginners,1000,0,informational,"hatha yoga vs vinyasa,difference between hatha and vinyasa,hatha or vinyasa for beginners",done,codex,"Live 2026-07-26 as /guides/hatha-vs-vinyasa; DFS volume 1000 KD0; SERP refreshed 2026-07-26; beginner class-choice intent",guide
best yoga blocks,subpillar,gear/blocks,yoga-for-beginners,590,0,commercial,"yoga blocks for beginners,foam yoga blocks,cork yoga blocks,yoga block alternatives",done,gpt,affiliate; brief: content-briefs/2026-05-24-best-yoga-blocks.md; top-3 avg: 4533 words estimated; target: 4986 words; PAA unavailable in run,
how often should beginners do yoga,cluster,blog,yoga-for-beginners,30,2,informational,"yoga frequency beginners,how many times a week yoga,yoga schedule beginners",todo,,direct PAA target,
yoga for flexibility,pillar,yoga-for-flexibility,yoga-for-flexibility,18100,24,informational,"yoga poses for flexibility,best yoga for flexibility,flexibility yoga routine,beginner flexibility yoga",todo,,future pillar (year 1 H2),
chair yoga for seniors,pillar,chair-yoga-for-seniors,chair-yoga-for-seniors,40500,7,informational,"chair yoga exercises for seniors,seated yoga for seniors,gentle chair yoga for seniors",done,gpt,hit-now low KD seed; user seed brief: content-briefs/seed-chair-yoga-for-seniors.md; YMYL/senior content; verify SERP/PAA/sources before marking briefed; brief: content-briefs/2026-05-25-chair-yoga-for-seniors.md; target: 2400-2800 words; top-3 avg: 1683 words estimated; PAA unavailable in run,
free chair yoga for seniors,cluster,free-chair-yoga,chair-yoga-for-seniors,9900,0,informational,"chair yoga for seniors free,free senior chair yoga,chair yoga exercises for seniors",done,,supporting cluster for chair yoga pillar; avoid medical promises,
printable chair yoga for seniors,cluster,printables,chair-yoga-for-seniors,6600,0,informational,"chair yoga for seniors printable,free printable chair yoga exercises,chair yoga chart for seniors",done,,downloadable/printable asset opportunity,
free chair yoga for beginners,cluster,beginners,chair-yoga-for-seniors,880,9,informational,"beginner chair yoga,free chair yoga routine,easy chair yoga for beginners",todo,,beginner entry point for chair yoga cluster,
best yoga poses for back pain,cluster,poses,yoga-for-back-pain,210,5,informational,"yoga poses for back pain,gentle yoga for back pain,best yoga for back pain relief",todo,,hit-now low KD seed; needs medical caution and source verification,
yoga poses for lower back pain,cluster,poses,yoga-for-back-pain,2900,23,informational,"lower back pain yoga poses,gentle stretches for lower back,yoga for lower back pain beginners",todo,,supporting article or section under back pain pillar; avoid treatment claims,
yoga for sciatica,cluster,sciatica,yoga-for-back-pain,2000,17,informational,"yoga poses for sciatica,gentle yoga for sciatica,sciatica stretches yoga",todo,,high caution medical-adjacent topic; require citations and disclaimer,
yoga for posture,cluster,posture,yoga-for-back-pain,12100,0,informational,"yoga poses for posture,yoga for better posture,posture exercises yoga",todo,,posture support article; do not imply guaranteed correction,
yoga for constipation,cluster,digestive-support,yoga-for-back-pain,6600,12,informational,"yoga poses for constipation,yoga for digestion,constipation relief yoga",todo,,medical-adjacent; consider separate wellness/health cluster after validation,
yoga nidra for sleep,pillar,yoga-nidra-for-sleep,yoga-nidra-for-sleep,8100,12,informational,"yoga nidra sleep,yoga nidra for insomnia,sleep meditation yoga nidra",todo,,strong specialty pillar seed; affiliate fit for bolsters eye pillows blankets,
yoga poses for kids,cluster,kids-yoga,kids-yoga,3000,9,informational,"kids yoga poses,yoga poses for children,easy yoga for kids",todo,,family/kids cluster seed; needs age-safe language,
yoga pants for men,cluster,men-yoga-gear,yoga-for-men,6600,0,commercial,"mens yoga pants,yoga trousers for men,best yoga pants for men",done,codex,"Live 2026-07-26 as /guides/yoga-pants-for-men; DFS volume 6600 KD0; commercial roundup SERP refreshed 2026-07-26; six official-source construction picks with no hands-on or affiliate claim",roundup
